typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,36,,,M,,144,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,3417.0,3417.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,152,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,2421.0,2421.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,156,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,187854228.0,187854228.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,170,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,24673.0,24673.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,376,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,29790.0,29790.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,380,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,2216008.0,2216008.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,392,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,13696653.0,13696653.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,400,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,1308.0,1308.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,608,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,1483458.0,1483458.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,616,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,38698.0,38698.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,804,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,6241.0,6241.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,818,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,1760.0,1760.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,826,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,2652862.0,2652862.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,196,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,37782.0,37782.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,203,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,60815.0,60815.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,208,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,55750.0,55750.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,410,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,822670.0,822670.0,0,True,False
C,A,20150101,2015,52,2015,36,,,M,,440,,,0,,,H4,HS,True,91,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,41347.0,41347.0,0,True,False
